index,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
554,So many self-righteous hypocrites. Watch their poll numbers - and elections - go down!,FALSE,51109,NA,10/9/2016 14:12,FALSE,NA,7.85121E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,18535,FALSE,FALSE,NA,NA
555,I will be live-tweeting the V.P. Debate. Very exciting! MAKE AMERICA GREAT AGAIN!,FALSE,20384,NA,10/5/2016 0:18,FALSE,NA,7.83461E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5255,FALSE,FALSE,NA,NA
556,"Wow, @CNN is so negative. Their panel is a joke, biased and very dumb. I'm turning to @FoxNews where we get a fair shake! Mike will do great",FALSE,33853,NA,10/5/2016 0:12,FALSE,NA,7.8346E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,8141,FALSE,FALSE,NA,NA
557,"Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REPEAL AND REPLACE!",FALSE,33202,NA,10/4/2016 23:55,FALSE,NA,7.83456E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,11464,FALSE,FALSE,NA,NA
558,"Join the MOVEMENT!
https://t.co/3KWOl20zMm https://t.co/BS5JLelPJd",FALSE,13684,NA,10/4/2016 23:44,FALSE,NA,7.83453E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5395,FALSE,FALSE,NA,NA
559,"Thank you ARIZONA! This is a MOVEMENT like nobody has ever seen before. Together, we are going to MAKE AMERICA SAFE… https://t.co/EwP4hnaeoE",FALSE,18878,NA,10/4/2016 22:38,TRUE,NA,7.83436E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,6653,FALSE,FALSE,NA,NA
560,"My childcare plan makes a difference for working families - more money, more freedom. #AmericaFirst means… https://t.co/X3Yn3FZphf",FALSE,23030,NA,10/4/2016 19:48,TRUE,NA,7.83393E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9252,FALSE,FALSE,NA,NA
561,I will be watching the great Governor @Mike_Pence and live tweeting the VP debate tonight starting at 8:30pm est! Enjoy!,FALSE,25044,NA,10/4/2016 19:40,FALSE,NA,7.83391E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7250,FALSE,FALSE,NA,NA
562,"Join me in Reno, Nevada tomorrow at 3:30pm! #AmericaFirst #MAGA
Tickets: https://t.co/DJ7JJUkkz7",FALSE,9504,NA,10/4/2016 19:36,FALSE,NA,7.8339E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3213,FALSE,FALSE,NA,NA
563,"Join me in Reno, Nevada on Wednesday at 3:30pm at the Reno-Sparks Convention Center! #MAGA
Tickets:… https://t.co/G0NvFLQWgS",FALSE,15847,NA,10/4/2016 3:39,TRUE,NA,7.8315E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,6620,FALSE,FALSE,NA,NA
564,"Thank you Colorado! #MAGA
https://t.co/3KWOl20zMm
https://t.co/M7QhdCgRzw https://t.co/wIGNtKPA2X",FALSE,22472,NA,10/4/2016 2:20,FALSE,NA,7.8313E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9000,FALSE,FALSE,NA,NA
565,We must bring the truth directly to hard-working Americans who want to take our country back. #BigLeagueTruth… https://t.co/0iAeiPYEhO,FALSE,25360,NA,10/3/2016 22:03,TRUE,NA,7.83065E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,11584,FALSE,FALSE,NA,NA
566,"Thank you Pueblo, Colorado! 
#TrumpRally #AmericaFirst
https://t.co/3KWOl20zMm https://t.co/rFAf7xYNhy",FALSE,16178,NA,10/3/2016 21:41,FALSE,NA,7.83059E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,6448,FALSE,FALSE,NA,NA
567,"Join me in Henderson, Nevada on Wednesday at 11:30am! #MAGA 
Tickets: https://t.co/pWTYv9BbUE",FALSE,14927,NA,10/3/2016 14:10,FALSE,NA,7.82946E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5986,FALSE,FALSE,NA,NA
568,Just announced that Iraq (U.S.) is preparing for battle to reclaim Mosul. Why do they have to announce this? Makes mission much harder!,FALSE,38418,NA,10/2/2016 23:45,FALSE,NA,7.82728E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,13947,FALSE,FALSE,NA,NA
569,"Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu:
https://t.co/VHuyE65hgi https://t.co/6KDPrQxSED",FALSE,30477,NA,9/25/2016 18:15,FALSE,NA,7.80108E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,11573,FALSE,FALSE,NA,NA
570,Looking forward to my meeting with Benjamin Netanyahu in Trump Tower at 10:00 A.M.,FALSE,30939,NA,9/25/2016 13:20,FALSE,NA,7.80034E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,8453,FALSE,FALSE,NA,NA
571,Bernie Sanders gave Hillary the Dem nomination when he gave up on the e-mails. That issue has only gotten bigger!,FALSE,26427,NA,9/25/2016 13:04,FALSE,NA,7.8003E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,8382,FALSE,FALSE,NA,NA
